canonical_id,canonical_name,canonical_city,canonical_state
1,Abraxas Academy Detention Center,Morgantown,PA
3,Adams County Detention Center (Mississippi),Natchez,MS
5,Alamance County Detention Facility,Graham,NC
6,Albany County Jail,Albany,NY
7,Alexandria Staging Facility,Alexandria,LA
8,Allegany County Jail,Belmont,NY
9,Allen County Jail,Ft. Wayne,IN
10,Allen Parish Public Safety Complex,Oberlin,LA
11,Anchorage Correctional Complex,Anchorage,AK
12,Anne Arundel County Ordnance Road Correctional Center,Glen Burnie,MD
14,Baker Correctional Institution,Sanderson,FL
16,Baker County Sheriff's Office,Macclenny,FL
17,Baldwin County Correctional Center,Bay Minette,AL
18,Beaver County Jail,Aliquippa,PA
19,Bedford Municipal Detention Center,Bedford,TX
20,Bergen County Jail,Hackensack,NJ
22,Berks County Residential Center1,Leesport,PA
23,Berlin Federal Correctional Institution,Berlin,NH
24,Best Western-Casa De Estrella,El Paso,TX
25,Bluebonnet Detention Center,Anson,TX
26,Boone County Jail,Burlington,KY
27,Bossier Parish Cor. Center,Plain Dealing,LA
28,Bourbon County Detention Center,Paris,KY
29,Bradford County Jail,Starke,FL
30,Bristol County Detention Center,North Dartmouth,MA
31,Brooklyn MDC,Brooklyn,NY
32,Brooks County Detention Center,Falfurrias,TX
34,Broome County Jail,Binghamton,NY
35,Broward County Jail,Fort Lauderdale,FL
36,Broward Transitional Center,Pompano Beach,FL
38,Buffalo (Batavia) Service Processing Center,Batavia,NY
39,Burleigh County Detention Center,Bismarck,ND
40,Burnet County Jail,Burnet,TX
41,Butler County Jail,El Dorado,KS
42,Butler County Jail,Hamilton,OH
43,Cabarrus County Jail,Concord,NC
44,Cache County Jail,Logan,UT
45,Caldwell County Detention Center,Kingston,MO
46,Calhoun County Correctional Center,Battle Creek,MI
48,California City Immigration Processing Center,California City,CA
50,Cambria County Prison,Ebensburg,PA
52,Campbell County Detention Center,Newport,KY
53,Caroline Detention Facility,Bowling Green,VA
54,Carver County Jail,Chaska,MN
56,"Cascade County Jail, Montana",Great Falls,MT
57,Cass County Jail,Plattsmouth,NE
58,Catahoula Correctional Center,Harrisonburg,LA
59,CBP Chula Vista BPS,San Diego,CA
60,CBP San Ysidro POE,San Ysidro,CA
61,Central Arizona Florence Correctional Complex,Florence,AZ
63,Central Texas Detention Facility,San Antonio,TX
64,Charleston County Detention Center,North Charleston,SC
66,Chase County Jail,Cottonwood Falls,KS
67,Chautauqua County Jail,Mayville,NY
68,Chavez Detention Center,Roswell,NM
70,Chippewa County SSM,Sault Ste. Marie,MI
