detention_facility_code,detention_facility,state,n_days,adp_total,adp_midnight,adp_male,adp_female,adp_convicted_criminal,adp_possibly_under_18,peak_population,peak_date,adp_non_criminal,share_non_crim,share_female
ABIRJVA,SW VIRGINIA REG JAIL AUTH-ABG FAC,VA,365,1.0136986301369864,0.852054794520548,1.0136986301369864,0,0.052054794520547946,0,47,2025-09-01,0.9616438356164384,0.9486486486486486,0
ABQHOLD,ALBUQUERQUE HOLD ROOM,NM,365,2.0986301369863014,0.5178082191780822,2.010958904109589,0.08767123287671233,0.7452054794520548,0.03561643835616438,45,2025-03-25,1.3534246575342466,0.6449086161879896,0.04177545691906005
ABRXSPA,ABRAXAS ACADEMY DETENTION CENTER,PA,365,0.0027397260273972603,0,0.0027397260273972603,0,0,0.0027397260273972603,1,2025-08-30,0.0027397260273972603,1,0
ADAMSMS,ADAMS COUNTY CORRECTIONAL CENTER,MS,365,2181.7616438356163,2159.46301369863,2181.7397260273974,0.0027397260273972603,64.15616438356165,0,2409,2025-08-15,2117.6054794520546,0.9705943293279403,1.2557403028594464e-6
ADDCOVT,ADDISON COUNTY JAIL,VT,365,0.0027397260273972603,0,0.0027397260273972603,0,0.0027397260273972603,0,1,2025-06-07,0,0,0
ADLNTCA,ADELANTO ICE PROCESSING CENTER,CA,365,621.7068493150684,612.7643835616439,561.068493150685,60.63835616438356,328.55068493150685,0,1816,2025-09-25,293.1561643835616,0.47153439713030404,0.09753528730009739
ADVHBCA,ADVENTIST HEALTH BAKERSFIELD,CA,365,0.03287671232876712,0.021917808219178082,0.0273972602739726,0.005479452054794521,0.005479452054794521,0,1,2025-02-04,0.0273972602739726,0.8333333333333334,0.16666666666666669
ADVHCHI,ADVENTIST HEALTH CASTLE,HI,365,0.0027397260273972603,0,0.0027397260273972603,0,0,0,1,2025-05-22,0.0027397260273972603,1,0
ADVHDCA,ADVENTIST HEALTH DELANO,CA,365,0.0136986301369863,0.00821917808219178,0.0136986301369863,0,0.010958904109589041,0,1,2024-11-10,0.0027397260273972594,0.19999999999999996,0
AGAHOLD,GUAM ERO HOLD ROOM,GU,365,0.021917808219178082,0,0.0136986301369863,0.00821917808219178,0.005479452054794521,0,4,2025-05-22,0.016438356164383564,0.7500000000000001,0.37499999999999994
AGC,AGUADILLA SPC,PR,365,3.3232876712328765,2.4767123287671233,3.2986301369863016,0.024657534246575342,0.6273972602739726,0,60,2025-03-20,2.6958904109589037,0.8112118713932398,0.00741962077493817
AGMDCCA,ANAHEIM GLOBAL MEDICAL CENTER,CA,365,0.2958904109589041,0.2493150684931507,0.28493150684931506,0.010958904109589041,0.12054794520547946,0,3,2025-08-29,0.17534246575342466,0.5925925925925926,0.037037037037037035
AHGRFND,ALTRU HOSPITAL GRAND FORKS,ND,365,0.00821917808219178,0.005479452054794521,0.00821917808219178,0,0,0,1,2025-06-02,0.00821917808219178,1,0
AKCOOKI,"COOK INLET PRETRIAL, ANCH",AK,365,0.010958904109589041,0.00821917808219178,0.010958904109589041,0,0.010958904109589041,0,1,2025-02-26,0,0,0
