detention_facility_code,canonical_id,facility_name,facility_address,facility_city,facility_state,facility_zip,facility_type_detailed,facility_type,n_days,adp_total,adp_midnight,adp_male,adp_female,adp_convicted_criminal,adp_non_criminal,adp_possibly_under_18,share_non_crim,share_female,peak_population,peak_date
ANCHOLD,2146,ANCHORAGE SUB-OFFICE HOLD ROOM,NA,NA,AK,NA,NA,Hold/Staging,365,0,0,0,0,0,0,0,0.889,0.333,5,2025-09-12
ANCHOAK,11,Anchorage Correctional Complex,1400 E. 4th Ave,Anchorage,AK,99501,NA,Federal,365,3.3,3,3.3,0,1.4,1.9,0,0.57,0,43,2025-06-09
AKCOOKI,NA,"COOK INLET PRETRIAL, ANCH",NA,NA,AK,NA,NA,Non-Dedicated,365,0,0,0,0,0,0,0,0,0,1,2025-02-26
AKFAIRB,NA,FAIRBANKS CORR CTR,NA,NA,AK,NA,NA,Non-Dedicated,365,0,0,0,0,0,0,0,0,1,1,2025-08-07
AKHIGHL,NA,HIGHLAND MTN COR CTR,NA,NA,AK,NA,NA,Federal,365,0.1,0.1,0,0.1,0,0.1,0,0.811,1,2,2025-07-08
AKKETCH,NA,KETCHIKAN REGIONAL CC,NA,NA,AK,NA,NA,Non-Dedicated,365,0,0,0,0,0,0,0,1,0,1,2025-05-16
KODIAAK,NA,KODIAK CITY JAIL,NA,NA,AK,NA,NA,Non-Dedicated,365,0,0,0,0,0,0,0,0,0,1,2025-06-06
AKLEMON,NA,"LEMON CREEK, JUNEAU,AK",NA,NA,AK,NA,NA,Federal,365,0,0,0,0,0,0,0,1,0,1,2025-08-25
AKMATSU,NA,"MATSU PRETRIAL, PALMER AK",NA,NA,AK,NA,NA,Non-Dedicated,365,0,0,0,0,0,0,0,0.667,0,1,2025-02-01
BHMHOLD,2026,BIRMINGHAM HOLD ROOM,NA,NA,AL,NA,NA,Hold/Staging,365,1.3,0,1,0.2,0.3,0.9,0,0.722,0.173,18,2025-09-10
BALDWAL,17,Baldwin County Correctional Center,200 Hand Ave.,Bay Minette,AL,36507,NA,Non-Dedicated,365,1.4,0.9,1.3,0.1,0.5,0.9,0,0.629,0.063,28,2025-02-07
DEKALAL,98,Dekalb County Detention Center,2801 Jordan Road,Fort Payne,AL,35968,NA,Federal,365,0,0,0,0,0,0,0,1,0,1,2025-08-09
ETWHOLD,2027,ETOWAH ERO HOLD ROOM,NA,NA,AL,NA,NA,Hold/Staging,365,0,0,0,0,0,0,0,0.5,0.5,2,2024-10-15
ETOWAAL,127,Etowah County Jail,827 Forrest Avenue,Gadsden,AL,35901,USMS IGA,USMS IGA,365,53,45.6,46.9,6,20.5,32.5,0,0.613,0.114,163,2025-04-01
MOAHOLD,2147,MOBILE HOLDROOM,NA,NA,AL,NA,NA,Hold/Staging,365,2.7,0,2.6,0.2,0.6,2.1,0,0.773,0.058,35,2025-06-24
