canonical_id,detloc,detloc_source
1,ABRXSPA,ddp
3,ADAMSMS,ddp
5,ALAMCNC,ddp
6,ALBCONY,dmcp
7,JENATLA,ddp
8,ALLEGNY,dmcp
10,APPSCLA,dmcp
11,ANCHOAK,dmcp
14,FLDADCI,ddp
16,BAKERFL,dmcp
17,BALDWAL,dmcp
18,BEAVRPA,dmcp
19,BEDCITX,dmcp
20,BERGENJ,dmcp
23,BOPBER,ddp
25,BLBNATX,ddp
26,BOONEKY,dmcp
27,BOSSRLA,ddp
28,BOURBKY,ddp
29,BRDFDFL,ddp
30,BRINDMA,dmcp
31,BOPBRO,ddp
32,BROKSTX,dmcp
34,BROMMNY,ddp
35,BROJAFL,ddp
36,WCCPBFL,dmcp
38,BTV,dmcp
39,BURLEND,ddp
40,BURNETX,dmcp
41,BUTLEKS,dmcp
42,BUTLEOH,dmcp
43,CBRRSNC,dmcp
44,CACHEUT,ddp
45,CALDWMO,dmcp
46,CALHOMI,dmcp
48,CACTYCA,ddp
50,CAMBRPA,dmcp
52,CPBDCKY,ddp
53,CARDFVA,ddp
54,CARJAMN,dmcp
56,CASCAMT,dmcp
57,CASSCNE,dmcp
61,CCADCAZ,dmcp
63,WACLATX,dmcp
64,CHARLSC,dmcp
66,CHASEKS,dmcp
67,CHACONY,dmcp
68,CHAVENM,ddp
70,CHIPPMI,dmcp
71,VTCHTDN,ddp
72,CHRISKY,ddp
73,CHRISMO,dmcp
74,CIBOCNM,dmcp
75,CIBOLNM,ddp
76,OKCIMMC,ddp
77,CLARKIN,ddp
79,CLAYCIN,dmcp
80,CLINTPA,ddp
82,CLINTIN,ddp
83,CLICONY,dmcp
84,CBENDTX,dmcp
85,COBBJGA,dmcp
86,COLLIFL,dmcp
88,OHNORWE,ddp
90,CROWGMN,ddp
91,CUMBEME,dmcp
92,DAKOTNE,dmcp
93,DALCOTX,ddp
94,DAVIDTN,dmcp
96,DVCSDKY,ddp
97,DAVISUT,ddp
98,DEKALAL,dmcp
100,DELAWPA,dmcp
101,DENICDF,dmcp
103,GUDOCHG,ddp
105,ADLNTCA,dmcp
108,EROFCB,ddp
109,DODGEWI,dmcp
110,DONAANM,ddp
112,DORCDSC,ddp
113,DOUGLWI,ddp
114,DOCORNE,dmcp
115,EHDLGTX,dmcp
117,EDNDCTX,ddp
118,EPCDFTX,ddp
119,EPC,dmcp
120,ELVDFTX,ddp
121,ELZICDF,dmcp
122,ELMORID,dmcp
123,EAZ,dmcp
124,ERICOPA,dmcp
125,DHDFNJ,dmcp
127,ETOWAAL,dmcp
128,EULESTX,dmcp
129,BOPATL,ddp
130,BOPPHL,ddp
132,FAYETKY,dmcp
133,FINNEKS,ddp
134,FLO,dmcp
135,FSF,ddp
136,FLDSSFS,ddp
137,FLOYDGA,ddp
138,FIPCAGA,ddp
139,FIPCDGA,ddp
141,FORSYNC,dmcp
142,GREENMA,dmcp
143,FRANKPA,ddp
144,FREDEMD,dmcp
145,FREEBMN,dmcp
147,GARVIOK,dmcp
148,GASTNNC,dmcp
149,GEAUGOH,dmcp
150,GLADEFL,dmcp
151,GLDSACA,ddp
152,GFCORND,dmcp
153,GRAYSKY,dmcp
154,GREENMO,ddp
155,BOPGUA,ddp
156,HASHENE,dmcp
158,HCPSCMS,ddp
159,HARDJIA,dmcp
162,HENDENV,dmcp
163,HICOJFL,ddp
166,BOPHON,ddp
167,HPKNSKY,ddp
168,HOUICDF,dmcp
169,HOWARMD,dmcp
170,HUDSONJ,dmcp
171,POLKCTX,dmcp
174,IRADFCA,dmcp
175,IRWINGA,dmcp
176,GTMOACU,ddp
177,JHRWLTX,dmcp
178,JKPCCLA,ddp
179,MUSIKCA,dmcp
180,JEFFEID,dmcp
182,JCRLYTX,ddp
183,JOHNSTX,dmcp
184,KANDIMN,ddp
185,KANKEIL,dmcp
186,KANHOLD,ddp
188,KARNETX,dmcp
190,KCCDCTX,ddp
191,KRNRCTX,ddp
192,KCOJFOK,ddp
193,KENOSWI,dmcp
194,KENTOKY,ddp
196,KNXDFTN,ddp
197,KRO,dmcp
200,LAPAZAZ,dmcp
203,LSRDCTX,dmcp
204,LAKCOFL,ddp
205,LARCOWY,ddp
206,LRDICDF,dmcp
207,OLACCLA,ddp
208,JENADLA,dmcp
209,LARELKY,ddp
210,LAWRESD,ddp
211,BOPLVN,ddp
212,LVYHOPA,ddp
213,LEVYCFL,ddp
214,LEXINSC,dmcp
215,LIMESTX,ddp
216,LINCOMO,dmcp
217,LINCONE,ddp
218,LINNJIA,dmcp
219,LOGANOK,ddp
220,LONPDAR,dmcp
221,LICEPLA,ddp
222,LUBBOTX,dmcp
223,MADISMS,ddp
224,MAHONOH,ddp
225,FIPCMGA,ddp
226,MARIOIN,dmcp
227,MARSHIA,dmcp
228,MARTIFL,ddp
230,MCHENIL,dmcp
