canonical_id,detloc,detloc_source,ddp_role
1,ABRXSPA,ddp,sole
3,ADAMSMS,ddp,sole
5,ALAMCNC,ddp,sole
6,ALBCONY,dmcp,NA
7,JENATLA,ddp,sole
8,ALLEGNY,dmcp,NA
10,APPSCLA,dmcp,NA
11,ANCHOAK,dmcp,NA
14,FLDADCI,ddp,sole
16,BAKERFL,dmcp,NA
17,BALDWAL,dmcp,NA
18,BEAVRPA,dmcp,NA
19,BEDCITX,dmcp,NA
20,BERGENJ,dmcp,NA
23,BOPBER,ddp,sole
25,BLBNATX,ddp,sole
26,BOONEKY,dmcp,NA
27,BOSSRLA,ddp,sole
28,BOURBKY,ddp,sole
29,BRDFDFL,ddp,sole
30,BRINDMA,dmcp,NA
31,BOPBRO,ddp,sole
32,BROKSTX,dmcp,NA
34,BROMMNY,ddp,sole
35,BROJAFL,ddp,sole
36,WCCPBFL,dmcp,NA
38,BTV,dmcp,NA
39,BURLEND,ddp,sole
40,BURNETX,dmcp,NA
41,BUTLEKS,dmcp,NA
42,BUTLEOH,dmcp,NA
43,CBRRSNC,dmcp,NA
44,CACHEUT,ddp,sole
45,CALDWMO,dmcp,NA
46,CALHOMI,dmcp,NA
48,CACTYCA,ddp,sole
50,CAMBRPA,dmcp,NA
52,CPBDCKY,ddp,sole
53,CARDFVA,ddp,sole
54,CARJAMN,dmcp,NA
56,CASCAMT,dmcp,NA
57,CASSCNE,dmcp,NA
61,CCADCAZ,dmcp,NA
61,CCAFLAZ,dmcp,NA
63,WACLATX,dmcp,NA
64,CHARLSC,dmcp,NA
66,CHASEKS,dmcp,NA
67,CHACONY,dmcp,NA
68,CHAVENM,ddp,sole
70,CHIPPMI,dmcp,NA
71,VTCHTDN,ddp,sole
72,CHRISKY,ddp,sole
73,CHRISMO,dmcp,NA
74,CIBOCNM,dmcp,NA
75,CIBOLNM,ddp,sole
76,OKCIMMC,ddp,sole
77,CLARKIN,ddp,sole
79,CLAYCIN,dmcp,NA
80,CLINTPA,ddp,sole
80,CLINTPA,dmcp,NA
82,CLINTIN,ddp,sole
83,CLICONY,dmcp,NA
84,CBENDTX,dmcp,NA
85,COBBJGA,dmcp,NA
86,COLLIFL,dmcp,NA
88,OHNORWE,ddp,sole
90,CROWGMN,ddp,sole
91,CUMBEME,dmcp,NA
92,DAKOTNE,dmcp,NA
93,DALCOTX,ddp,sole
94,DAVIDTN,dmcp,NA
96,DVCSDKY,ddp,sole
97,DAVISUT,ddp,sole
98,DEKALAL,dmcp,NA
100,DELAWPA,dmcp,NA
101,DENICDF,dmcp,NA
103,GUDOCHG,ddp,sole
105,CADESVI,ddp,component
105,ADLNTCA,dmcp,NA
108,EROFCB,ddp,sole
109,DODGEWI,dmcp,NA
110,DONAANM,ddp,sole
112,DORCDSC,ddp,sole
113,DOUGLWI,ddp,sole
114,DOCORNE,dmcp,NA
115,EHDLGTX,dmcp,NA
117,EDNDCTX,ddp,sole
118,EPCDFTX,ddp,sole
119,EPC,dmcp,NA
120,ELVDFTX,ddp,sole
121,ELZICDF,dmcp,NA
122,ELMORID,dmcp,NA
123,EAZ,dmcp,NA
124,ERICOPA,dmcp,NA
125,DHDFNJ,dmcp,NA
125,ESSEXNJ,dmcp,NA
127,ETOWAAL,dmcp,NA
128,EULESTX,dmcp,NA
129,BOPATL,ddp,sole
130,BOPPHL,ddp,sole
132,FAYETKY,dmcp,NA
133,FINNEKS,ddp,sole
134,FLO,dmcp,NA
135,FSF,ddp,sole
136,FLDSSFS,ddp,sole
137,FLOYDGA,ddp,sole
138,FIPCAGA,ddp,sole
139,FIPCDGA,ddp,sole
141,FORSYNC,dmcp,NA
142,GREENMA,dmcp,NA
143,FRANKPA,ddp,sole
144,FREDEMD,dmcp,NA
145,FREEBMN,dmcp,NA
147,GARVIOK,dmcp,NA
148,GASTNNC,dmcp,NA
149,GEAUGOH,dmcp,NA
150,GLADEFL,dmcp,NA
151,GLDSACA,ddp,sole
152,GFCORND,dmcp,NA
153,GRAYSKY,dmcp,NA
153,GRYDCKY,dmcp,NA
154,GREENMO,ddp,sole
155,BOPGUA,ddp,sole
156,HASHENE,dmcp,NA
158,HCPSCMS,ddp,sole
159,HARDJIA,dmcp,NA
162,HENDENV,dmcp,NA
163,HICOJFL,ddp,sole
166,BOPHON,ddp,sole
167,HPKNSKY,ddp,sole
168,HOUICDF,dmcp,NA
169,HOWARMD,dmcp,NA
170,HUDSONJ,dmcp,NA
171,POLKCTX,dmcp,NA
174,IRADFCA,dmcp,NA
175,IRWINGA,dmcp,NA
176,GTMOACU,ddp,primary
176,GTMOBCU,ddp,component
176,GTMODCU,ddp,component
177,JHRWLTX,dmcp,NA
178,JKPCCLA,ddp,sole
179,MUSIKCA,dmcp,NA
180,JEFFEID,dmcp,NA
182,JCRLYTX,ddp,sole
182,MONTGTX,dmcp,NA
183,JOHNSTX,dmcp,NA
184,KANDIMN,ddp,sole
185,KANKEIL,dmcp,NA
186,KANHOLD,ddp,sole
188,KARNETX,dmcp,NA
190,KCCDCTX,ddp,sole
191,KRNRCTX,ddp,sole
192,KCOJFOK,ddp,sole
193,KENOSWI,dmcp,NA
194,KENTOKY,ddp,sole
196,KNXDFTN,ddp,sole
197,KRO,dmcp,NA
200,LAPAZAZ,dmcp,NA
203,LSRDCTX,dmcp,NA
204,LAKCOFL,ddp,sole
205,LARCOWY,ddp,sole
206,LRDICDF,dmcp,NA
207,OLACCLA,ddp,sole
208,JENADLA,dmcp,NA
209,LARELKY,ddp,sole
210,LAWRESD,ddp,sole
211,BOPLVN,ddp,sole
212,LVYHOPA,ddp,sole
213,LEVYCFL,ddp,sole
214,LEXINSC,dmcp,NA
215,LIMESTX,ddp,sole
216,LINCOMO,dmcp,NA
217,LINCONE,ddp,sole
218,LINNJIA,dmcp,NA
219,LOGANOK,ddp,sole
220,LONPDAR,dmcp,NA
221,LICEPLA,ddp,sole
222,LUBBOTX,dmcp,NA
223,MADISMS,ddp,sole
224,MAHONOH,ddp,sole
225,FIPCMGA,ddp,sole
226,MARIOIN,dmcp,NA
227,MARSHIA,dmcp,NA
228,MARTIFL,ddp,sole
230,MCHENIL,dmcp,NA
231,CACFMES,dmcp,NA
232,INMIAMI,ddp,sole
233,BOPMIM,ddp,sole
234,MSF,ddp,sole
235,MIDLATX,ddp,sole
236,MILLRAR,dmcp,NA
237,MINICID,dmcp,NA
238,MINNESD,ddp,sole
239,MONROFL,dmcp,NA
240,MONROMI,dmcp,NA
241,MNTGMAL,dmcp,NA
242,MONTGNY,ddp,sole
243,MONTGMO,dmcp,NA
244,MTGPCTX,ddp,sole
245,MORGNMO,dmcp,NA
246,MOROWOH,dmcp,NA
248,MSVPCPA,ddp,sole
249,MUSCAIA,ddp,sole
250,NASSANY,ddp,sole
252,NATROWY,dmcp,NA
253,NLSCOLA,ddp,sole
254,NVSDCNV,dmcp,NA
255,NWHNVNC,dmcp,NA
256,NIAGANY,ddp,sole
257,NOBLEMN,dmcp,NA
260,NRLKCMI,ddp,sole
262,CCANOOH,dmcp,NA
263,NORCOOR,dmcp,NA
265,WVNORTH,dmcp,NA
268,NWRCCMN,ddp,sole
269,VTSTALB,dmcp,NA
271,NYEPANV,ddp,sole
273,OKMULOK,ddp,sole
274,OLDHAKY,ddp,sole
278,ORANGFL,dmcp,NA
279,ORANGNY,dmcp,NA
281,CCASDCA,dmcp,NA
282,OTERONM,ddp,sole
283,OTRPCNM,dmcp,NA
284,OZARKMO,ddp,sole
285,PENNISD,dmcp,NA
287,PHELPMO,ddp,sole
288,PHELPNE,dmcp,NA
289,PCKNSAL,ddp,sole
291,PIKCOPA,dmcp,NA
292,PINEPLA,dmcp,NA
293,PINELFL,dmcp,NA
294,PLATTMO,dmcp,NA
295,PLATTWY,dmcp,NA
296,PLYMOMA,dmcp,NA
297,POLKJIA,dmcp,NA
300,POTTAIA,dmcp,NA
302,PRLDCTX,dmcp,NA
303,FRMVLVA,dmcp,NA
304,PULASIL,dmcp,NA
304,TRICOIL,dmcp,NA
305,PUTNMTN,ddp,sole
306,RNDLLTX,dmcp,NA
310,RWCCMLA,ddp,sole
312,RGRNDTX,dmcp,NA
313,PIC,dmcp,NA
314,RVRCCLA,ddp,sole
316,RSREGVA,ddp,sole
317,RONKEVA,dmcp,NA
318,RADDFGA,ddp,sole
320,ROCKIVA,dmcp,NA
321,HASKLTX,dmcp,NA
323,STTAMLA,dmcp,NA
324,MPSIPAN,ddp,sole
325,SALINNE,ddp,sole
326,SLSLCUT,ddp,sole
327,SNDHOLD,ddp,sole
328,SJS,ddp,sole
329,SLRDCAZ,dmcp,NA
330,SARPYNE,ddp,sole
331,SAUKCWI,ddp,sole
332,SEBASAR,dmcp,NA
333,SENECOH,dmcp,NA
334,SHACOKS,dmcp,NA
335,SHERBMN,dmcp,NA
336,SIOUXIA,ddp,sole
337,WVSCENT,dmcp,NA
339,BASILLA,dmcp,NA
343,STCDFTX,dmcp,NA
346,STCLAMI,dmcp,NA
347,STGENMO,ddp,sole
348,STWRTGA,dmcp,NA
350,STRAFNH,dmcp,NA
351,SUFFOMA,dmcp,NA
354,SWEETWY,dmcp,NA
356,CCAHUTX,ddp,sole
357,CSCNWWA,dmcp,NA
358,TALLAMS,ddp,sole
359,TELLECO,dmcp,NA
360,THHHBTX,ddp,sole
361,TLACYCA,dmcp,NA
362,TOOELUT,dmcp,NA
364,TOORANM,dmcp,NA
366,STFRCTX,ddp,sole
367,TULCOOK,dmcp,NA
368,TGKJLFL,ddp,sole
369,TBRJLME,ddp,sole
370,UINTAWY,ddp,sole
371,VALVETX,dmcp,NA
372,VICTOTX,ddp,sole
373,VPREGVA,dmcp,NA
374,WAKECNC,dmcp,NA
375,WAKULFL,dmcp,NA
376,WLTSOFL,ddp,sole
377,WARDCND,ddp,sole
378,WASHIAR,ddp,sole
380,WASHCUT,dmcp,NA
381,WASHONV,dmcp,NA
382,WAUKEWI,ddp,sole
383,WEBDCTX,dmcp,NA
384,WEBERUT,ddp,sole
385,WTXDFTX,dmcp,NA
387,TNWESDF,dmcp,NA
388,WVIRGVA,ddp,sole
389,WHITFGA,dmcp,NA
391,LAWINCI,ddp,sole
392,WOODBIA,ddp,sole
393,WORCEMD,dmcp,NA
394,WYATTRI,ddp,sole
395,YIKIMWA,dmcp,NA
397,YORCOPA,dmcp,NA
398,YUBAJCA,dmcp,NA
1001,ATLANGA,dmcp,NA
1002,JAMESGA,dmcp,NA
1003,CONWECA,dmcp,NA
1004,RIOCCCA,dmcp,NA
1005,OTROPNM,dmcp,NA
1006,YORCOSC,dmcp,NA
1007,WCRDFTX,dmcp,NA
1008,RAADCMN,dmcp,NA
1009,DEAPDMI,dmcp,NA
1010,WAYNENY,dmcp,NA
1011,HALLJGA,dmcp,NA
1012,MECKLNC,dmcp,NA
1013,ALEXAVA,dmcp,NA
1014,JOSEPOR,dmcp,NA
1015,ROCKIIL,dmcp,NA
1016,ELPASCO,dmcp,NA
1017,ELGPDIL,dmcp,NA
1018,MOFFECO,dmcp,NA
1019,OCIRCCA,dmcp,NA
1020,KENTCMI,dmcp,NA
1021,GLEPDCA,dmcp,NA
1022,TGREETX,dmcp,NA
1023,YAVCVAZ,dmcp,NA
1024,HAILEID,dmcp,NA
1025,SANJAIL,dmcp,NA
1026,PWILLVA,dmcp,NA
1027,FAICOVA,dmcp,NA
1028,NORFOMA,dmcp,NA
1029,SCRUZAZ,dmcp,NA
1030,TAYLOTX,dmcp,NA
1031,TITUSTX,dmcp,NA
1032,ALHAMCA,dmcp,NA
1033,ALLEGPA,dmcp,NA
1034,APACHAZ,dmcp,NA
1035,BEDFOOH,dmcp,NA
1036,COCONAZ,dmcp,NA
1037,WVEASTR,dmcp,NA
1038,LAPLACO,dmcp,NA
1039,MECKLN2,dmcp,NA
1040,MISCOMO,dmcp,NA
1041,MONTGPA,dmcp,NA
1042,MONTGAL,dmcp,NA
1043,NAVSOAZ,dmcp,NA
1044,ONTARNY,dmcp,NA
1045,OCCWJCA,dmcp,NA
1046,POMONCA,dmcp,NA
1047,PUEBLCO,dmcp,NA
1048,RICECKS,dmcp,NA
1049,SALEMNJ,dmcp,NA
1050,SBERNCA,dmcp,NA
1051,SACITCA,dmcp,NA
1052,TENSALA,dmcp,NA
1053,UTAHCUT,dmcp,NA
2001,ATLHOLD,ero,NA
2002,BALHOLD,ero,NA
2003,BOSHOLD,ero,NA
2004,BUFHOLD,ero,NA
2005,CHIHOLD,ero,NA
2006,DALHOLD,ero,NA
2007,DENHOLD,ero,NA
2008,DETHOLD,ero,NA
2010,HLGHOLD,ero,NA
2011,HOUHOLD,ero,NA
2012,LOSHOLD,ero,NA
2013,MIAHOLD,ero,NA
2014,NOLHOLD,ero,NA
2015,NYCHOLD,ero,NA
2016,NEWHOLD,ero,NA
2017,PHIHOLD,ero,NA
2018,PHOHOLD,ero,NA
2019,SLCHOLD,ero,NA
2020,SNAHOLD,ero,NA
2022,SFRHOLD,ero,NA
2023,SEAHOLD,ero,NA
2024,SPMHOLD,ero,NA
2025,WASHOLD,ero,NA
2026,BHMHOLD,marshall,NA
2027,ETWHOLD,marshall,NA
2028,FAYHOLD,marshall,NA
2029,FSAHOLD,marshall,NA
2030,LRAHOLD,marshall,NA
2031,TXAHOLD,marshall,NA
2032,IWAHOLD,marshall,NA
2033,TUCHOLD,marshall,NA
2034,YUMHOLD,marshall,NA
2035,BKLHOLD,marshall,NA
2036,FREHOLD,marshall,NA
2037,IMPHOLD,marshall,NA
2038,SAAHOLD,marshall,NA
2039,SACHOLD,marshall,NA
2040,SBDHOLD,marshall,NA
2041,SNJHOLD,marshall,NA
2042,STK,marshall,NA
2043,VENHOLD,marshall,NA
2044,WESHOLD,marshall,NA
2045,ALMHOLD,marshall,NA
2046,CRGHOLD,marshall,NA
2047,DURHOLD,marshall,NA
2048,FRDHOLD,marshall,NA
2049,GJCHOLD,marshall,NA
2050,GSCHOLD,marshall,NA
2051,PUEHOLD,marshall,NA
2052,HARHOLD,marshall,NA
2053,DVDHOLD,marshall,NA
2054,FMYHOLD,marshall,NA
2055,JAXHOLD,marshall,NA
2056,KRHUBFL,marshall,NA
2057,KROHOLD,marshall,NA
2058,ORLHOLD,marshall,NA
2059,STUHOLD,marshall,NA
2060,TALHOLD,marshall,NA
2061,TAMHOLD,marshall,NA
2062,AGAHOLD,marshall,NA
2063,HHWHOLD,marshall,NA
2064,CRIHOLD,marshall,NA
2065,DSMHOLD,marshall,NA
2066,SXCHOLD,marshall,NA
2067,BOIHOLD,marshall,NA
2068,IFIHOLD,marshall,NA
2069,TFIHOLD,marshall,NA
2070,BSAHOLD,marshall,NA
2071,RIIHOLD,marshall,NA
2072,INPHOLD,marshall,NA
2073,WICHOLD,marshall,NA
2074,LOUHOLD,marshall,NA
2075,OAKHOLD,marshall,NA
2076,VVSHOLD,marshall,NA
2077,POMHOLD,marshall,NA
2078,GRMHOLD,marshall,NA
2079,SPGHOLD,marshall,NA
2080,STLHOLD,marshall,NA
2081,SAIHOLD,marshall,NA
2082,JAKHOLD,marshall,NA
2083,BILHOLD,marshall,NA
2084,HELHOLD,marshall,NA
2085,CLTHOLD,marshall,NA
2086,HENHOLD,marshall,NA
2087,RDUHOLD,marshall,NA
2088,GRFHOLD,marshall,NA
2089,GRIHOLD,marshall,NA
2090,NRPHOLD,marshall,NA
2091,OMAHOLD,marshall,NA
2092,MANHOLD,marshall,NA
2093,ABQHOLD,marshall,NA
2094,LVGHOLD,marshall,NA
2095,RENHOLD,marshall,NA
2096,ALBHOLD,marshall,NA
2097,CBPHOLD,marshall,NA
2098,CMDHOLD,marshall,NA
2099,VRK,marshall,NA
2100,CINHOLD,marshall,NA
2101,CLEHOLD,marshall,NA
2102,CLMHOLD,marshall,NA
2103,OKCHOLD,marshall,NA
2104,EUGHOLD,marshall,NA
2105,MEDHOLD,marshall,NA
2106,POOHOLD,marshall,NA
2107,PITHOLD,marshall,NA
2108,PKEHOLD,marshall,NA
2109,AGC,marshall,NA
2110,SAJHOLD,marshall,NA
2111,SJUHOLD,marshall,NA
2112,PROHOLD,marshall,NA
2113,CHLHOLD,marshall,NA
2114,COAHOLD,marshall,NA
2115,GRRHOLD,marshall,NA
2116,RPCHOLD,marshall,NA
2117,SFDHOLD,marshall,NA
2118,CNGHOLD,marshall,NA
2119,KNXHOLD,marshall,NA
2120,MEMHOLD,marshall,NA
2121,NSVHOLD,marshall,NA
2122,AMTHOLD,marshall,NA
2123,ATTHOLD,marshall,NA
2124,AUSHOLD,marshall,NA
2125,BSCHOLD,marshall,NA
2126,DLRHOLD,marshall,NA
2127,EPCPCTX,marshall,NA
2128,LBKHOLD,marshall,NA
2129,LRDHOLD,marshall,NA
2130,LSFHOLD,marshall,NA
2131,MLDHOLD,marshall,NA
2132,PCSHOLD,marshall,NA
2133,PDNHOLD,marshall,NA
2134,PRLHOLD,marshall,NA
2135,RGS,marshall,NA
2136,SAGHOLD,marshall,NA
2137,STDHOLD,marshall,NA
2138,WCTHOLD,marshall,NA
2139,OGUHOLD,marshall,NA
2140,PRUHOLD,marshall,NA
2141,SGUHOLD,marshall,NA
2142,HBGHOLD,marshall,NA
2143,NORHOLD,marshall,NA
2144,RCMHOLD,marshall,NA
2145,CHAHOLD,marshall,NA
2146,STAHOLD,marshall,NA
2147,YAKHOLD,marshall,NA
2148,MILHOLD,marshall,NA
2149,CHYHOLD,marshall,NA
2150,CSPHOLD,marshall,NA
2151,ANCHOLD,marshall,NA
2152,MOAHOLD,marshall,NA
2153,AZSVCPC,marshall,NA
2154,REDHOLD,marshall,NA
2155,SMAHOLD,marshall,NA
2156,CSDHOLD,marshall,NA
2157,IBPSMIA,marshall,NA
2158,BLGHOLD,marshall,NA
2159,SALHOLD,marshall,NA
2160,DULHOLD,marshall,NA
2161,MLJHOLD,marshall,NA
2162,LASHOLD,marshall,NA
2163,RSWHOLD,marshall,NA
2164,CHMHOLD,marshall,NA
2165,CIPHOLD,marshall,NA
2166,NBGHOLD,marshall,NA
2167,SYRHOLD,marshall,NA
2168,TULHOLD,marshall,NA
2169,WPOHOLD,marshall,NA
2170,YRKHOLD,marshall,NA
2171,CRPHOLD,marshall,NA
2172,EPSSFTX,marshall,NA
2173,MCAHOLD,marshall,NA
2174,MTGHOLD,marshall,NA
2175,LTVHOLD,marshall,NA
2176,RMKHOLD,marshall,NA
2177,FDLHOLD,marshall,NA
2178,RICHOLD,marshall,NA
2179,SPOHOLD,marshall,NA
2180,WNTHOLD,marshall,NA
