listing_name,office_type,office_name,address,city,state,zip,phone,area_of_responsibility,outreach_email,address_string,lon,lat
Atlanta - ERO,ERO,Atlanta Field Office,"180 Ted Turner Dr. SW, Suite 522",Atlanta,GA,30303,(404) 893-1290,"Georgia, North Carolina, South Carolina",Atlanta.Outreach@ice.dhs.gov,"180 Ted Turner Dr. SW, Suite 522, Atlanta, GA, 30303, USA",-84.3973461,33.749609
Baltimore - ERO,ERO,Baltimore Field Office,"31 Hopkins Plaza, 6th Floor",Baltimore,MD,21201,(443) 560-0640,Maryland,Baltimore.Outreach@ice.dhs.gov,"31 Hopkins Plaza, 6th Floor, Baltimore, MD, 21201, USA",-76.616563,39.2879833
Buffalo - ERO,ERO,Buffalo Field Office,"250 Delaware Avenue, Floor 7",Buffalo,NY,14202,(716) 464-5800,Upstate New York,Buffalo.Outreach@ice.dhs.gov,"250 Delaware Avenue, Floor 7, Buffalo, NY, 14202, USA",-78.8769453,42.8911691
Burlington - ERO,ERO,Boston Field Office,1000 District Avenue,Burlington,MA,01803,(781) 359-7500,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont",Boston.Outreach@ice.dhs.gov,"1000 District Avenue, Burlington, MA, 01803, USA",-71.20881349999999,42.4825992
Centennial - ERO,ERO,Denver Field Office,12445 E. Caley Avenue,Centennial,CO,80111,(720) 873-2899,"Colorado, Wyoming",Denver.Outreach@ice.dhs.gov,"12445 E. Caley Avenue, Centennial, CO, 80111, USA",-104.8449885,39.6015038
Chantilly - ERO,ERO,Washington Field Office,14797 Murdock Street,Chantilly,VA,20598-5216,(703) 633-2100,District of Columbia and Virginia,Washington.Outreach@ice.dhs.gov,"14797 Murdock Street, Chantilly, VA, 20598-5216, USA",-77.45867679999999,38.9114848
Chicago - ERO,ERO,Chicago Field Office,"101 W Ida B Wells Drive, Suite 4000",Chicago,IL,60605,(872) 351-3990,"Illinois, Indiana, Wisconsin, Missouri, Kentucky, Kansas",Chicago.Outreach@ice.dhs.gov,"101 W Ida B Wells Drive, Suite 4000, Chicago, IL, 60605, USA",-87.6309402,41.87539049999999
Dallas - ERO,ERO,Dallas Field Office,8101 N. Stemmons Frwy,Dallas,TX,75247,NA,"North Texas, Oklahoma",Dallas.Outreach@ice.dhs.gov,"8101 N. Stemmons Frwy, Dallas, TX, 75247, USA",-96.87215289999999,32.8235915
Detroit - ERO,ERO,Detroit Field Office,"985 Michigan Avenue, Suite 207",Detroit,MI,48226,(313) 771-6601,"Michigan, Ohio",Detroit.Outreach@ice.dhs.gov,"985 Michigan Avenue, Suite 207, Detroit, MI, 48226, USA",-83.0591255,42.33112209999999
El Paso - ERO,ERO,El Paso Field Office,"11541 Montana Ave, Suite E",El Paso,TX,79936,(915) 225-1901,"West Texas, New Mexico",ElPaso.Outreach@ice.dhs.gov,"11541 Montana Ave, Suite E, El Paso, TX, 79936, USA",-106.2910235,31.80421399999999
