"fiscal_year","canonical_id","canonical_name","facility_name","facility_city","facility_state","detloc","facility_address","facility_zip","facility_type_detailed","facility_male_female","adp","source","facility_type_wiki","facility_aor","facility_average_length_of_stay_alos","adp_detainee_classification_level_a","adp_detainee_classification_level_b","adp_detainee_classification_level_c","adp_detainee_classification_level_d","adp_criminality_male_crim","adp_criminality_male_non_crim","adp_criminality_female_crim","adp_criminality_female_non_crim","adp_ice_threat_level_1","adp_ice_threat_level_2","adp_ice_threat_level_3","adp_no_ice_threat_level","adp_mandatory","inspections_guaranteed_minimum","inspections_last_inspection_type","inspections_last_inspection_standard","inspections_last_inspection_rating_final","inspections_last_inspection_date","inspections_second_to_last_inspection_type","inspections_second_to_last_inspection_standard","inspections_second_to_last_inspection_rating","inspections_second_to_last_inspection_date","sum_classification_levels","sum_criminality_levels","sum_threat_levels","share_non_crim","share_no_threat","inspections_odo_inspection_end_date","inspections_odo_last_inspection_standard","inspections_odo_final_rating","inspections_last_nakamoto_inspection_standard","inspections_last_nakamoto_inspection_rating_final","inspections_last_nakamoto_inspection_date","inspections_second_to_last_nakamoto_inspection_type","inspections_second_to_last_nakamoto_inspection_standard","inspections_second_to_last_nakamoto_inspection_date","inspections_last_inspection_end_date","inspections_pending_inspection","inspections_last_final_rating"
"FY10",6,"Albany County Jail","Albany County Jail","Albany","NY","ALBCONY","840 Albany Shaker Road","12211","USMS IGA","Female/Male",3,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",8,"Allegany County Jail","Allegany County Jail","Belmont","NY","ALLEGNY","4884 State Route 19","14813","IGSA","Female",10,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",11,"Anchorage Correctional Complex","Anchorage Correctional Complex","Anchorage","AK","ANCHOAK","1400 E. 4th Ave","99501","USMS IGA","Female/Male",3,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",16,"Baker County Sheriff's Office","Baker County Sheriff's Office","Macclenny","FL","BAKERFL","1 Sheriff Office Drive","32063","IGSA","Female/Male",167,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",19,"Bedford Municipal Detention Center","Bedford Municipal Detention Center","Bedford","TX","BEDCITX","2121 L Don Dodson Drive","76021","IGSA","Female/Male",8,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",20,"Bergen County Jail","Bergen County Jail","Hackensack","NJ","BERGENJ","160 South River Street","07601","USMS IGA","Male",111,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",26,"Boone County Jail","Boone County Jail","Burlington","KY","BOONEKY","3020 Conrad Lane","41005","USMS IGA","Female/Male",89,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",30,"Bristol County Detention Center","Bristol County Detention Center","North Dartmouth","MA","BRINDMA","400 Faunce Corner Road","02747","IGSA","Female/Male",226,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",36,"Broward Transitional Center","Broward Transitional Center","Pompano Beach","FL","WCCPBFL","3900 North Powerline Road","33073","CDF","Female/Male",580,"faclist17","Private Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",38,"Buffalo (Batavia) Service Processing Center","Buffalo (Batavia) Service Processing Center","Batavia","NY","BTV","4250 Federal Drive","14020","SPC","Male",498,"faclist17","ICE Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",41,"Butler County Jail","Butler County Jail","El Dorado","KS","BUTLEKS","701 Se Stone Road","67042","USMS IGA","Female/Male",6,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",42,"Butler County Jail","Butler County Jail","Hamilton","OH","BUTLEOH","705 Hanover Street","45011","IGSA","Female/Male",95,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",43,"Cabarrus County Jail","Cabarrus County Jail","Concord","NC","CBRRSNC","30 Corban Avenue Se","28025","IGSA","Male",1,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",45,"Caldwell County Detention Center","Caldwell County Detention Center","Kingston","MO","CALDWMO","280 West Main Street","64650","IGSA","Female/Male",35,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",46,"Calhoun County Correctional Center","Calhoun County Correctional Center","Battle Creek","MI","CALHOMI","185 East Michigan Avenue","49014","IGSA","Female/Male",170,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
