"facility_id","canonical_id","canonical_name","canonical_city","canonical_state","facility_name","facility_city","facility_state"
1,1,"Abraxas Academy Detention Center","Morgantown","PA","Abraxas Academy Detention Center","Morgantown","PA"
2,3,"Adams County Detention Center (Mississippi)","Natchez","MS","Adams County Correctional Center","Natchez","MS"
3,3,"Adams County Detention Center (Mississippi)","Natchez","MS","Adams County Detention Center","Natchez","MS"
4,105,"Adelanto ICE Processing Center","Adelanto","CA","Adelanto ICE Processing Center","Adelanto","CA"
5,5,"Alamance County Detention Facility","Graham","NC","Alamance County Detention Facility","Graham","NC"
6,6,"Albany County Jail","Albany","NY","Albany County Jail","Albany","NY"
7,7,"Alexandria Staging Facility","Alexandria","LA","Alexandria Staging Facility","Alexandria","LA"
8,8,"Allegany County Jail","Belmont","NY","Allegany County Jail","Belmont","NY"
9,9,"Allen County Jail","Ft. Wayne","IN","Allen County Jail","Ft. Wayne","IN"
10,10,"Allen Parish Public Safety Complex","Oberlin","LA","Allen Parish Public Safety Complex","Oberlin","LA"
11,11,"Anchorage Correctional Complex","Anchorage","AK","Anchorage Correctional Complex","Anchorage","AK"
12,12,"Anne Arundel County Ordnance Road Correctional Center","Glen Burnie","MD","Anne Arundel County Ordnance Road Correctional Center","Glen Burnie","MD"
13,138,"Folkston Annex IPC","Folkston","GA","Annex - Folkston IPC","Folkston","GA"
14,14,"Baker Correctional Institution","Sanderson","FL","Baker Correctional Institution","Sanderson","FL"
15,16,"Baker County Sheriff's Office","Macclenny","FL","Baker County Sheriff Department.","Macclenny","FL"
16,16,"Baker County Sheriff's Office","Macclenny","FL","Baker County Sheriff's Office","Macclenny","FL"
17,17,"Baldwin County Correctional Center","Bay Minette","AL","Baldwin County Correctional Center","Bay Minette","AL"
18,18,"Beaver County Jail","Aliquippa","PA","Beaver County Jail","Aliquippa","PA"
19,19,"Bedford Municipal Detention Center","Bedford","TX","Bedford Municipal Detention Center","Bedford","TX"
20,20,"Bergen County Jail","Hackensack","NJ","Bergen County Jail","Hackensack","NJ"
21,22,"Berks County Residential Center1","Leesport","PA","Berks County Family Shelter","Leesport","PA"
22,22,"Berks County Residential Center1","Leesport","PA","Berks County Residential Center1","Leesport","PA"
23,23,"Berlin Federal Correctional Institution","Berlin","NH","Berlin Federal Correctional Institution","Berlin","NH"
24,24,"Best Western-Casa De Estrella","El Paso","TX","Best Western-Casa De Estrella","El Paso","TX"
25,25,"Bluebonnet Detention Center","Anson","TX","Bluebonnet Detention Center","Anson","TX"
26,26,"Boone County Jail","Burlington","KY","Boone County Jail","Burlington","KY"
27,27,"Bossier Parish Cor. Center","Plain Dealing","LA","Bossier Parish Cor. Center","Plain Dealing","LA"
28,28,"Bourbon County Detention Center","Paris","KY","Bourbon County Detention Center","Paris","KY"
29,29,"Bradford County Jail","Starke","FL","Bradford County Jail","Starke","FL"
30,30,"Bristol County Detention Center","North Dartmouth","MA","Bristol County Detention Center","North Dartmouth","MA"
31,31,"Brooklyn MDC","Brooklyn","NY","Brooklyn MDC","Brooklyn","NY"
32,32,"Brooks County Detention Center","Falfurrias","TX","Brooks County Detention Center","Falfurrias","TX"
33,34,"Broome County Jail","Binghamton","NY","Broome County Jail","Binghampton","NY"
34,34,"Broome County Jail","Binghamton","NY","Broome County Jail","Binghamton","NY"
35,35,"Broward County Jail","Fort Lauderdale","FL","Broward County Jail","Fort Lauderdale","FL"
36,36,"Broward Transitional Center","Pompano Beach","FL","Broward Transitional Center","Pompano Beach","FL"
37,38,"Buffalo (Batavia) Service Processing Center","Batavia","NY","Buffalo (Batavia) Service Processing Center","Batavia","NY"
38,38,"Buffalo (Batavia) Service Processing Center","Batavia","NY","Buffalo Service Processing Center","Batavia","NY"
39,39,"Burleigh County Detention Center","Bismarck","ND","Burleigh County Detention Center","Bismarck","ND"
40,40,"Burnet County Jail","Burnet","TX","Burnet County Jail","Burnet","TX"
41,41,"Butler County Jail","El Dorado","KS","Butler County Jail","El Dorado","KS"
42,42,"Butler County Jail","Hamilton","OH","Butler County Jail","Hamilton","OH"
43,59,"CBP Chula Vista BPS","San Diego","CA","CBP Chula Vista BPS","San Diego","CA"
44,60,"CBP San Ysidro POE","San Ysidro","CA","CBP San Ysidro POE","San Ysidro","CA"
