"canonical_id","canonical_name","FY10","FY11","FY12","FY13","FY14","FY15","FY16","FY17","FY19","FY20","FY21","FY22","FY23","FY24","FY25","FY26","n_years","first_seen","last_seen","trajectory","n_years_current","n_years_initial"
6,"Albany County Jail",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,"FY10","FY19","closed",0,9
8,"Allegany County Jail",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,10,"FY10","FY26","persistent_gaps",2,8
11,"Anchorage Correctional Complex",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,"FY10","FY26","persistent_gaps",1,3
16,"Baker County Sheriff's Office",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,16,"FY10","FY26","continuous",16,16
19,"Bedford Municipal Detention Center",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,"FY10","FY20","closed",0,10
20,"Bergen County Jail",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,11,"FY10","FY21","closed",0,11
26,"Boone County Jail",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,16,"FY10","FY26","continuous",16,16
30,"Bristol County Detention Center",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,"FY10","FY20","closed",0,10
36,"Broward Transitional Center",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,16,"FY10","FY26","continuous",16,16
38,"Buffalo (Batavia) Service Processing Center",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,16,"FY10","FY26","continuous",16,16
