"canonical_id","canonical_name","detloc","facility_address","facility_city","facility_state","facility_zip","facility_type_detailed","facility_type_wiki","id_range","type_detailed_corrected","type_grouped_corrected"
1,"Abraxas Academy Detention Center","ABRXSPA","1000 Academy Drive","Morgantown","PA","19543","JUVENILE","Juvenile Detention Center","panel","Juvenile","Family/Youth"
3,"Adams County Detention Center (Mississippi)","ADAMSMS","20 Hobo Fork Rd.","Natchez","MS","39120","DIGSA","Dedicated Migrant Detention Center","panel","DIGSA","Dedicated"
5,"Alamance County Detention Facility","ALAMCNC","109 South Maple Street","Graham","NC","27253","IGSA","Jail","panel","IGSA","Non-Dedicated"
6,"Albany County Jail","ALBCONY","840 Albany Shaker Road","Albany","NY","12211","USMS IGA","Jail","panel","USMS IGA","Federal"
7,"Alexandria Staging Facility","JENATLA","96 George Thompson Dr.","Alexandria","LA","71303","STAGING","ICE Staging Facility","panel","Staging","Hold/Staging"
8,"Allegany County Jail","ALLEGNY","4884 State Route 19","Belmont","NY","14813","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
9,"Allen County Jail","ALLENIN","417 S. Calhoun","Ft. Wayne","IN","46802","USMS IGA","Jail","panel","USMS IGA","Federal"
10,"Allen Parish Public Safety Complex","APPSCLA","7340 Highway 26 West","Oberlin","LA","70655","IGSA","Jail","panel","IGSA","Non-Dedicated"
11,"Anchorage Correctional Complex","ANCHOAK","1400 E. 4th Ave","Anchorage","AK","99501","USMS IGA","Jail","panel","USMS IGA","Federal"
12,"Anne Arundel County Ordnance Road Correctional Center","AAORDMD","600 E. Ordnance Road","Glen Burnie","MD","21060","IGSA","Jail","panel","IGSA","Non-Dedicated"
14,"Baker Correctional Institution","FLDADCI","20706 Us 90 W","Sanderson","FL","32087","STATE","State Migrant Detention Center","panel","STATE","Dedicated"
16,"Baker County Sheriff's Office","BAKERFL","1 Sheriff Office Drive","Macclenny","FL","32063","IGSA","Jail","panel","IGSA","Non-Dedicated"
17,"Baldwin County Correctional Center","BALDWAL","200 Hand Ave.","Bay Minette","AL","36507","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
18,"Beaver County Jail","BEAVRPA","6000 Woodlawn Boulevard","Aliquippa","PA","15001","USMS IGA","Jail","panel","USMS IGA","Federal"
19,"Bedford Municipal Detention Center","BEDCITX","2121 L Don Dodson Drive","Bedford","TX","76021","IGSA","Jail","panel","IGSA","Non-Dedicated"
20,"Bergen County Jail","BERGENJ","160 South River Street","Hackensack","NJ","7601","USMS IGA","Jail","panel","USMS IGA","Federal"
22,"Berks County Residential Center1","BCORCPA","1040 Berks Rd","Leesport","PA","19533","DIGSA","Dedicated Migrant Detention Center","panel","DIGSA","Dedicated"
23,"Berlin Federal Correctional Institution","BOPBER","1 Success Loop Dr.","Berlin","NH","03570","BOP","Federal Prison","panel","BOP","Federal"
24,"Best Western-Casa De Estrella","BWEPATX","6655 Gateway Blvd W.","El Paso","TX","79925","FAMILY STAGING","Hotel","panel","Family Staging","Family/Youth"
25,"Bluebonnet Detention Center","BLBNATX","400 2nd Street","Anson","TX","79501","DIGSA","Dedicated Migrant Detention Center","panel","IGSA","Non-Dedicated"
26,"Boone County Jail","BOONEKY","3020 Conrad Lane","Burlington","KY","41005","USMS IGA","Jail","panel","USMS IGA","Federal"
27,"Bossier Parish Cor. Center","BOSSRLA","2984 Old Plain Dealing Highway","Plain Dealing","LA","71064","USMS IGA","Jail","panel","USMS IGA","Federal"
