canonical_id,canonical_name,detloc,facility_type,facility_type_wiki,state,address,city,zip,county,lat,lon,aor,date_first_use,date_last_use,address_source
2026,Birmingham Hold Room,BHMHOLD,hold_room,ICE Hold Room,AL,"1833 29th Ave S, Birmingham, AL 35209",HOMEWOOD,35209,JEFFERSON,33.479539,-86.79116,NOL,NA,NA,marshall_project
2027,Etowah ERO Hold Room,ETWHOLD,ero_hold,ICE ERO Hold Room,AL,UNAVAILABLE,GADSDEN,35901,ETOWAH,NA,NA,NOL,NA,NA,marshall_project
2028,Fayetteville Hold Room,FAYHOLD,hold_room,ICE Hold Room,AR,P.O. BOX 1188 2887 N POINT CIRCLE,FAYETTEVILLE,72701,WASHINGTON,36.10463,-94.178449,NOL,2010-06-27,2013-01-14,marshall_project
2029,Fort Smith Holdroom,FSAHOLD,hold_room,ICE Hold Room,AR,"4991 Old Greenwood Rd, Fort Smith, AR 72903",FORT SMITH,72901,SEBASTIAN,35.3328677,-94.3878247,NOL,2013-12-16,2013-12-16,marshall_project
2030,Little Rock Hold Room,LRAHOLD,hold_room,ICE Hold Room,AR,UNAVAILABLE,LITTLE ROCK,72201,PULASKI,NA,NA,NOL,NA,NA,marshall_project
2031,Texarkana Holdroom,TXAHOLD,hold_room,ICE Hold Room,AR,100 NORTH STATELINE AVENUE,TEXARKANA,71854,MILLER,33.420881,-94.043166,NOL,2016-08-09,2016-08-14,marshall_project
2032,Az Rem Op Coord Center (Arocc),IWAHOLD,hold_room,ICE Hold Room,AZ,"130 N Robson, Mesa, AZ 85201",MESA,85204,MARICOPA,33.4180114,-111.8367566,PHO,2010-01-24,2017-10-31,marshall_project
2033,Tucson Ins Hold Room,TUCHOLD,hold_room,ICE Hold Room,AZ,6431 SOUTH COUNTRY CLUB ROAD,TUCSON,85706,PIMA,32.1353209,-110.9260223,PHO,1985-10-01,2017-11-01,marshall_project
2034,Yuma Holdroom,YUMHOLD,hold_room,ICE Hold Room,AZ,3911 S. PICO AVE.,YUMA,85365,YUMA,32.65579891,-114.6121807,PHO,2008-04-07,2017-11-04,marshall_project
2035,Bakerfield Hold,BKLHOLD,hold_room,ICE Hold Room,CA,800 TRUXTUN,BAKERSFIELD,93301,SUMMIT,35.37372,-119.01121,SFR,2008-02-11,2017-11-03,marshall_project
2036,Fresno Holdroom,FREHOLD,hold_room,ICE Hold Room,CA,733 L STREET,FRESNO,93721,FRESNO,36.73267589,-119.7852956,SFR,2006-07-14,2017-11-04,marshall_project
2037,Imperial Sub Office Hold Room,IMPHOLD,sub_office,ICE ERO Sub-Office,CA,2051 North Waterman Avenue Suite 101,El Centro,92243,NA,NA,NA,NA,NA,NA,ero_directory
2038,Santa Ana Dro Holdroom,SAAHOLD,hold_room,ICE Hold Room,CA,34 CIVIC CENTER PLAZA,SANTA ANA,90701,ORANGE,33.748562,-117.875155,LOS,2007-11-01,2017-06-05,marshall_project
2039,Sacramento Hold,SACHOLD,hold_room,ICE Hold Room,CA,650 CAPITOL MALL,SACRAMENTO,95814,SACRAMENTO,38.57813929,-121.4995672,SFR,2000-06-25,2017-10-26,marshall_project
2040,San Bernardino Hold Room,SBDHOLD,hold_room,ICE Hold Room,CA,655 WEST RIALTO AVENUE,SAN BERNADINO,92410,SAN BERNARDINO,34.10077,-117.297624,LOS,2008-11-06,2017-11-03,marshall_project
2041,Snj Hold Room,SNJHOLD,hold_room,ICE Hold Room,CA,1887 MONTEREY ROAD,SAN JOSE,95112,SANTA CLARA,37.23883,-121.7742945,SFR,2009-01-16,2016-07-19,marshall_project
2042,Ventura Custody Case,VENHOLD,custody_case,ICE Custody/Case Facility,CA,275 SKYWAY DRIVE,CAMARRILLO,93010,VENTURA,34.206389,-119.077197,LOS,2001-05-09,2017-11-03,marshall_project
2043,Westminster Custody,WESHOLD,custody_case,ICE Custody/Case Facility,CA,8200 WESTMINSTER BOULEVARD,WESTMINSTER,92683,ORANGE,33.75919,-117.9919216,LOS,1989-11-30,2017-06-02,marshall_project
2044,Alamosa Holdroom,ALMHOLD,hold_room,ICE Hold Room,CO,1921 STATE STREET,ALAMOSA,81101,ALAMOSA,37.487897,-105.8597891,DEN,2011-02-26,2012-10-26,marshall_project
2045,Craig Holdroom,CRGHOLD,hold_room,ICE Hold Room,CO,466 TUCKER STREET,CRAIG,81625,MOFFAT,40.51362644,-107.5449635,DEN,2017-08-01,2017-08-01,marshall_project
2046,Durango Holdroom,DURHOLD,hold_room,ICE Hold Room,CO,32 SHEPPARD DRIVE,DURANGO,81303,FLOYD,37.237142,-107.874147,DEN,NA,NA,marshall_project
2047,Frederick Holdroom,FRDHOLD,hold_room,ICE Hold Room,CO,3770 PURITAN WAY,FREDERICK,80516,WELD,40.08366084,-104.9842897,DEN,NA,NA,marshall_project
2048,Grand Junction Holdroom,GJCHOLD,hold_room,ICE Hold Room,CO,571 S. COMMERCIAL DRIVE,GRAND JUNCTION,81501,MESA,39.08742921,-108.5855331,DEN,2011-02-16,2017-09-12,marshall_project
2049,Glenwood Springs Holdroom,GSCHOLD,hold_room,ICE Hold Room,CO,100 MIDLAND AVENUE,GLENWOOD SPRINGS,81601,GLENWOOD SPRINGS,39.5150507,-107.3234023,DEN,2011-02-22,2013-06-13,marshall_project
2050,Pueblo Holdroom,PUEHOLD,hold_room,ICE Hold Room,CO,"935 CO-67 Florence, CO 81226",FLORENCE,81226,FREMONT,38.393003,-105.116869,DEN,2011-09-01,2017-06-07,marshall_project
2051,Hartford Office,HARHOLD,hold_room,ICE Hold Room,CT,450 MAIN STREET,HARTFORD,06103,HARTFORD,41.65125491,-72.60366603,BOS,1993-02-16,2017-07-25,marshall_project
2052,Dover Holdroom,DVDHOLD,hold_room,ICE Hold Room,DE,1305 MCD DRIVE,DOVER,19901,KENT,39.15450667,-75.48795118,PHI,2009-04-23,2016-09-13,marshall_project
2053,Fort Myers ERO Holdroom,FMYHOLD,ero_hold,ICE ERO Hold Room,FL,8860 SALROSE LANE,FORT MYERS,33912,LEE,26.5489061,-81.8083647,MIA,2016-12-02,2016-12-02,marshall_project
2054,Jacksonville Sub-Office,JAXHOLD,sub_office,ICE ERO Sub-Office,FL,4121 SOUTHPOINT BLVD,JACKSONVILLE,32216,DUVAL,30.25553186,-81.59002626,MIA,2003-06-18,2017-06-27,marshall_project
